# L  T  POL  MV
2.500000000000000000e+02 9.298187024935536580e-08 1.587796488263818572e-08 1.311847680197813645e-08
2.510000000000000000e+02 9.310221536251560379e-08 1.589751593016985511e-08 1.314243019383748721e-08
2.520000000000000000e+02 9.322211025462856072e-08 1.591700725899718663e-08 1.316628113920414292e-08
2.530000000000000000e+02 9.334155772044958816e-08 1.593643808845646319e-08 1.319002797812157240e-08
2.540000000000000000e+02 9.346053635929925628e-08 1.595580765063584692e-08 1.321366862483408153e-08
2.550000000000000000e+02 9.357904732082106634e-08 1.597511518416702468e-08 1.323720143009128818e-08
2.560000000000000000e+02 9.369707174905463585e-08 1.599435993917380612e-08 1.326062440067071259e-08
2.570000000000000000e+02 9.381461030761510065e-08 1.601354117341632060e-08 1.328393591860890964e-08
2.580000000000000000e+02 9.393164274877653840e-08 1.603265815566200638e-08 1.330713400287667378e-08
2.590000000000000000e+02 9.404817088177972510e-08 1.605171016313806648e-08 1.333021710631623268e-08
2.600000000000000000e+02 9.416417546333454770e-08 1.607069648420279878e-08 1.335318331374703476e-08
2.610000000000000000e+02 9.427965755626322006e-08 1.608961641545367337e-08 1.337603110136846787e-08
2.620000000000000000e+02 9.439459845937330076e-08 1.610846926501396595e-08 1.339875861962009933e-08
2.630000000000000000e+02 9.450899912151449871e-08 1.612725435144865491e-08 1.342136438829305033e-08
2.640000000000000000e+02 9.462284127583412722e-08 1.614597100170002670e-08 1.344384661229611612e-08
2.650000000000000000e+02 9.473612712804004757e-08 1.616461855432443026e-08 1.346620389438251398e-08
2.660000000000000000e+02 9.484883631157292209e-08 1.618319635888195997e-08 1.348843444259204681e-08
2.670000000000000000e+02 9.496097299318233151e-08 1.620170377306961312e-08 1.351053695023269234e-08
2.680000000000000000e+02 9.507251729402063598e-08 1.622014017053510595e-08 1.353250969137231963e-08
2.690000000000000000e+02 9.518347201859892873e-08 1.623850492722368858e-08 1.355435138459452010e-08
2.700000000000000000e+02 9.529381746972928503e-08 1.625679744257668303e-08 1.357606036754821201e-08
2.710000000000000000e+02 9.540355873748915063e-08 1.627501711360199154e-08 1.359763545698324981e-08
2.720000000000000000e+02 9.551267501539534195e-08 1.629316336136385424e-08 1.361907502232532363e-08
2.730000000000000000e+02 9.562117130242038647e-08 1.631123560633770427e-08 1.364037793641103612e-08
2.740000000000000000e+02 9.572902766971868497e-08 1.632923329204032561e-08 1.366154264785430256e-08
2.750000000000000000e+02 9.583624944594654331e-08 1.634715586419307096e-08 1.368256810010012571e-08
2.760000000000000000e+02 9.594281710996586590e-08 1.636500279092442134e-08 1.370345280436203846e-08
2.770000000000000000e+02 9.604873517067962064e-08 1.638277354070670354e-08 1.372419575045720724e-08
2.780000000000000000e+02 9.615398570931759306e-08 1.640046760652517599e-08 1.374479554353788821e-08
2.790000000000000000e+02 9.625857303144107033e-08 1.641808448062650756e-08 1.376525123381490043e-08
2.800000000000000000e+02 9.636247892723150874e-08 1.643562368603848817e-08 1.378556148776633227e-08
2.810000000000000000e+02 9.646570892210386065e-08 1.645308473568797368e-08 1.380572544348209207e-08
2.820000000000000000e+02 9.656824499430257538e-08 1.647046717965811131e-08 1.382574183206438220e-08
2.830000000000000000e+02 9.667009219433893240e-08 1.648777056085550538e-08 1.384560985229891946e-08
2.840000000000000000e+02 9.677123391957863079e-08 1.650499444990286942e-08 1.386532833210400537e-08
2.850000000000000000e+02 9.687167403970459409e-08 1.652213842030336164e-08 1.388489651075686350e-08
2.860000000000000000e+02 9.697139685565996037e-08 1.653920206896256873e-08 1.390431330093758498e-08
2.870000000000000000e+02 9.707040814272938541e-08 1.655618499785632395e-08 1.392357805740404549e-08
2.880000000000000000e+02 9.716869060741496488e-08 1.657308682999742048e-08 1.394268972052811135e-08
2.890000000000000000e+02 9.726625089658315626e-08 1.658990719395548871e-08 1.396164773478719456e-08
2.900000000000000000e+02 9.736307245877638347e-08 1.660664574294943984e-08 1.398045112779311636e-08
