# L  T  POL  MV
1.650000000000000000e+02 6.798124557429895964e-08 8.271474202715517185e-09 6.892998847107619601e-09
1.660000000000000000e+02 6.808060795574286607e-08 8.279829313060355230e-09 6.904343061210627782e-09
1.670000000000000000e+02 6.818032616015140165e-08 8.288189978744125601e-09 6.915708244146691477e-09
1.680000000000000000e+02 6.828037772156194787e-08 8.296555729752691136e-09 6.927093399784827741e-09
1.690000000000000000e+02 6.838077505383038615e-08 8.304926104472122390e-09 6.938497881148178848e-09
1.700000000000000000e+02 6.848149697780551912e-08 8.313300644780105309e-09 6.949920708723410903e-09
1.710000000000000000e+02 6.858255587173379104e-08 8.321678900252136451e-09 6.961361238273384322e-09
1.720000000000000000e+02 6.868393092868567167e-08 8.330060423952963682e-09 6.972818486940597244e-09
1.730000000000000000e+02 6.878563228173782894e-08 8.338444777410898003e-09 6.984291781141487480e-09
1.740000000000000000e+02 6.888763936182831006e-08 8.346831525000441593e-09 6.995780142844021288e-09
1.750000000000000000e+02 6.898996338332486201e-08 8.355220239490371807e-09 7.007282912980696698e-09
1.760000000000000000e+02 6.909258179288433865e-08 8.363610497014403646e-09 7.018799090731113178e-09
1.770000000000000000e+02 6.919550604191230300e-08 8.372001881012930367e-09 7.030328024105174884e-09
1.780000000000000000e+02 6.929871484016516326e-08 8.380393979576018439e-09 7.041868723128360152e-09
1.790000000000000000e+02 6.940221969766210360e-08 8.388786386605632704e-09 7.053420528984704364e-09
1.800000000000000000e+02 6.950599762181149516e-08 8.397178701692551894e-09 7.064982441122473597e-09
1.810000000000000000e+02 6.961006015220457309e-08 8.405570529283811352e-09 7.076553803826390588e-09
1.820000000000000000e+02 6.971438563857963951e-08 8.413961480592171718e-09 7.088133634213267038e-09
1.830000000000000000e+02 6.981898559836606691e-08 8.422351170194613282e-09 7.099721271779932243e-09
1.840000000000000000e+02 6.992383678431069881e-08 8.430739220267638035e-09 7.111315719462658683e-09
1.850000000000000000e+02 7.002894867172426654e-08 8.439125256202415021e-09 7.122916286980753813e-09
1.860000000000000000e+02 7.013430142751952938e-08 8.447508910658479840e-09 7.134522024487694076e-09
1.870000000000000000e+02 7.023990352626267308e-08 8.455889819711974750e-09 7.146132239690446746e-09
1.880000000000000000e+02 7.034573457514846179e-08 8.464267626558150442e-09 7.157745967387369120e-09
1.890000000000000000e+02 7.045180235066994368e-08 8.472641977243641823e-09 7.169362512110691083e-09
1.900000000000000000e+02 7.055808652364291139e-08 8.481012525072167617e-09 7.180980914523944522e-09
1.910000000000000000e+02 7.066459628266567571e-08 8.489378925809953305e-09 7.192600500139824452e-09
1.920000000000000000e+02 7.077130944888468833e-08 8.497740843044160809e-09 7.204220285096985783e-09
1.930000000000000000e+02 7.087823567174154339e-08 8.506097941962217321e-09 7.215839600495394384e-09
1.940000000000000000e+02 7.098535198488541479e-08 8.514449896165116718e-09 7.227457464935121700e-09
1.950000000000000000e+02 7.109266830557940458e-08 8.522796379966796536e-09 7.239073212482320560e-09
1.960000000000000000e+02 7.120016305401370085e-08 8.531137076347395191e-09 7.250685880976653970e-09
1.970000000000000000e+02 7.130784440499156751e-08 8.539471669145859789e-09 7.262294790760820657e-09
1.980000000000000000e+02 7.141568941323694052e-08 8.547799849853395209e-09 7.273898963349426557e-09
1.990000000000000000e+02 7.152370738293042177e-08 8.556121311888363449e-09 7.285497740452178676e-09
2.000000000000000000e+02 7.163187669587501030e-08 8.564435755247748514e-09 7.297090159378472582e-09
2.010000000000000000e+02 7.174020513641438650e-08 8.572742882346083898e-09 7.308675554700405299e-09
2.020000000000000000e+02 7.184867160873057197e-08 8.581042401481347625e-09 7.320252972626858883e-09
2.030000000000000000e+02 7.195728323120029782e-08 8.589334023762398210e-09 7.331821740147701697e-09
2.040000000000000000e+02 7.206601926775307795e-08 8.597617465130420441e-09 7.343380920876829123e-09
2.050000000000000000e+02 7.217488637291923133e-08 8.605892445756795793e-09 7.354929836944603749e-09
2.060000000000000000e+02 7.228386229633535304e-08 8.614158689041978972e-09 7.366467541041877719e-09
2.070000000000000000e+02 7.239295515169982958e-08 8.622415923464804102e-09 7.377993372620335295e-09
2.080000000000000000e+02 7.250214209075989322e-08 8.630663879681539155e-09 7.389506386093232068e-09
2.090000000000000000e+02 7.261143178985767001e-08 8.638902294284147978e-09 7.401005941730068076e-09
2.100000000000000000e+02 7.272080102417298284e-08 8.647130905116057471e-09 7.412491088466529574e-09
2.110000000000000000e+02 7.283025707434650728e-08 8.655349455866365037e-09 7.423961177791117114e-09
2.120000000000000000e+02 7.293977822778516430e-08 8.663557691528127323e-09 7.435415285409804652e-09
2.130000000000000000e+02 7.304937120663768805e-08 8.671755363038987389e-09 7.446852766256080788e-09
2.140000000000000000e+02 7.315901320900289920e-08 8.679942221974787913e-09 7.458272680282008286e-09
2.150000000000000000e+02 7.326871233977308562e-08 8.688118026040265410e-09 7.469674411105891172e-09
2.160000000000000000e+02 7.337844542770537904e-08 8.696282533348111944e-09 7.481057027585979693e-09
2.170000000000000000e+02 7.348821942518237866e-08 8.704435508121574817e-09 7.492419900172316644e-09
2.180000000000000000e+02 7.359801266469147535e-08 8.712576714711116749e-09 7.503762129984580034e-09
2.190000000000000000e+02 7.370782997508641123e-08 8.720705923330678502e-09 7.515083064582774618e-09
2.200000000000000000e+02 7.381765038224036678e-08 8.728822904922999896e-09 7.526381820309980619e-09
2.210000000000000000e+02 7.392747932899270670e-08 8.736927435051312690e-09 7.537657769935711519e-09
2.220000000000000000e+02 7.403729633297140927e-08 8.745019290831243311e-09 7.548910037657842142e-09
2.230000000000000000e+02 7.414710520979544231e-08 8.753098253096078879e-09 7.560137991720984681e-09
2.240000000000000000e+02 7.425688590236963042e-08 8.761164104506887810e-09 7.571340764334312786e-09
2.250000000000000000e+02 7.436664306590972026e-08 8.769216631006451868e-09 7.582517744030378242e-09
2.260000000000000000e+02 7.447635537224746390e-08 8.777255620726863326e-09 7.593668063896340744e-09
2.270000000000000000e+02 7.458602769001297949e-08 8.785280864375505635e-09 7.604791116485541378e-09
2.280000000000000000e+02 7.469563825631864804e-08 8.793292155462936721e-09 7.615886047098153873e-09
2.290000000000000000e+02 7.480519366269933354e-08 8.801289289089476240e-09 7.626952274615624383e-09
2.300000000000000000e+02 7.491467031150183253e-08 8.809272063706542760e-09 7.637988936604477602e-09
2.310000000000000000e+02 7.502407404914645411e-08 8.817240278928623729e-09 7.648995451693575119e-09
2.320000000000000000e+02 7.513338358321760225e-08 8.825193737661760086e-09 7.659971000020116492e-09
2.330000000000000000e+02 7.524260303753724114e-08 8.833132243796790991e-09 7.670914986718102223e-09
2.340000000000000000e+02 7.535171203244083202e-08 8.841055604753728310e-09 7.681826609381753349e-09
2.350000000000000000e+02 7.546071391794159016e-08 8.848963628308408879e-09 7.692705284506713724e-09
2.360000000000000000e+02 7.556958895300449358e-08 8.856856126111165328e-09 7.703550225850242415e-09
2.370000000000000000e+02 7.567833997578140926e-08 8.864732909686284505e-09 7.714360859192900364e-09
2.380000000000000000e+02 7.578694623749887153e-08 8.872593794966130174e-09 7.725136394499411211e-09
2.390000000000000000e+02 7.589541327752376242e-08 8.880438596865807656e-09 7.735876299839261464e-09
2.400000000000000000e+02 7.600371854014092588e-08 8.888267135507558968e-09 7.746579784627212152e-09
2.410000000000000000e+02 7.611186723834569527e-08 8.896079229117076343e-09 7.757246321282952181e-09
2.420000000000000000e+02 7.621983751276920340e-08 8.903874701432833606e-09 7.767875140368023948e-09
2.430000000000000000e+02 7.632763319053533574e-08 8.911653374006027281e-09 7.778465709582200627e-09
2.440000000000000000e+02 7.643523411232894112e-08 8.919415074492210240e-09 7.789017293005317748e-09
2.450000000000000000e+02 7.654264355269663586e-08 8.927159627152442549e-09 7.799529370463401196e-09
2.460000000000000000e+02 7.664984073262225170e-08 8.934886863726623627e-09 7.810001213345203110e-09
2.470000000000000000e+02 7.675683007467161463e-08 8.942596611209074711e-09 7.820432327640258738e-09
2.480000000000000000e+02 7.686359075047207893e-08 8.950288704295916307e-09 7.830821994086110540e-09
2.490000000000000000e+02 7.697012766059095472e-08 8.957962973700005501e-09 7.841169741353941844e-09
2.500000000000000000e+02 7.707641858676303153e-08 8.965619256558297425e-09 7.851474850323995349e-09
2.510000000000000000e+02 7.718246879662882186e-08 8.973257387323845565e-09 7.861736870435196782e-09
2.520000000000000000e+02 7.728825550873861128e-08 8.980877205690618851e-09 7.871955088665363959e-09
2.530000000000000000e+02 7.739378573149737432e-08 8.988478549724138903e-09 7.882129090326252270e-09
2.540000000000000000e+02 7.749903633945500113e-08 8.996061261297959169e-09 7.892258170874100484e-09
2.550000000000000000e+02 7.760401248810439200e-08 9.003625182082853079e-09 7.902341914953397244e-09
2.560000000000000000e+02 7.770869365885716247e-08 9.011170156645323433e-09 7.912379662777344172e-09
2.570000000000000000e+02 7.781308442105524437e-08 9.018696029892999003e-09 7.922371009009607102e-09
2.580000000000000000e+02 7.791716268668982294e-08 9.026202649172022121e-09 7.932315291458404694e-09
2.590000000000000000e+02 7.802093412796769265e-08 9.033689862509071498e-09 7.942212135968927230e-09
2.600000000000000000e+02 7.812437760333216795e-08 9.041157520336874214e-09 7.952060909084554316e-09
2.610000000000000000e+02 7.822749790739985306e-08 9.048605473512117194e-09 7.961861237207896706e-09
2.620000000000000000e+02 7.833027436176638404e-08 9.056033575296936857e-09 7.971612516486570611e-09
2.630000000000000000e+02 7.843271150375818986e-08 9.063441680711577490e-09 7.981314385632790697e-09
2.640000000000000000e+02 7.853478904112435986e-08 9.070829645154061733e-09 7.990966259508356983e-09
2.650000000000000000e+02 7.863651273788373369e-08 9.078197326182913684e-09 8.000567814856141812e-09
2.660000000000000000e+02 7.873785998815623781e-08 9.085544583355655200e-09 8.010118454900948314e-09
2.670000000000000000e+02 7.883883849964973058e-08 9.092871276028801592e-09 8.019617894409887586e-09
2.680000000000000000e+02 7.893942606247742791e-08 9.100177268579397886e-09 8.029065561812816292e-09
2.690000000000000000e+02 7.903962886105155319e-08 9.107462421412538207e-09 8.038461172666650809e-09
2.700000000000000000e+02 7.913942476535098691e-08 9.114726604328907223e-09 8.047804180568696050e-09
2.710000000000000000e+02 7.923882219399403869e-08 9.121969680437816262e-09 8.057094339106233247e-09
2.720000000000000000e+02 7.933779778943176564e-08 9.129191522259600735e-09 8.066331105949545089e-09
2.730000000000000000e+02 7.943635978604505571e-08 9.136391996637119492e-09 8.075514251749958978e-09
2.740000000000000000e+02 7.953448560819186603e-08 9.143570979096913899e-09 8.084643264909945961e-09
2.750000000000000000e+02 7.963218372822241183e-08 9.150728341022764931e-09 8.093717941255651867e-09
2.760000000000000000e+02 7.972943187814789576e-08 9.157863962208640389e-09 8.102737787273317356e-09
2.770000000000000000e+02 7.982623756935811914e-08 9.164977716875117306e-09 8.111702609010507799e-09
2.780000000000000000e+02 7.992258004782245335e-08 9.172069488918542569e-09 8.120611949547032529e-09
2.790000000000000000e+02 8.001846653991308622e-08 9.179139155699452620e-09 8.129465633646175975e-09
2.800000000000000000e+02 8.011387589384040658e-08 9.186186608171581871e-09 8.138263222976419856e-09
2.810000000000000000e+02 8.020881647345340163e-08 9.193211725082713172e-09 8.147004574131382086e-09
2.820000000000000000e+02 8.030326721187947194e-08 9.200214402059651780e-09 8.155689265430910147e-09
2.830000000000000000e+02 8.039723582819794611e-08 9.207194524735698136e-09 8.164317171380553065e-09
2.840000000000000000e+02 8.049070265298280130e-08 9.214151989626926288e-09 8.172887908788663773e-09
2.850000000000000000e+02 8.058367408410563105e-08 9.221086689074097026e-09 8.181401354629498601e-09
2.860000000000000000e+02 8.067613125895565311e-08 9.227998523819297206e-09 8.189857155379465724e-09
2.870000000000000000e+02 8.076808240755574447e-08 9.234887391629594093e-09 8.198255235422679934e-09
2.880000000000000000e+02 8.085950693288155506e-08 9.241753197230730052e-09 8.206595236074116093e-09
2.890000000000000000e+02 8.095041387684504894e-08 9.248595842399404632e-09 8.214877114457681095e-09
2.900000000000000000e+02 8.104078327897413717e-08 9.255415238036946724e-09 8.223100541268668612e-09
